Year,Country,Count
1993,Australia,1
1993,England,3
1993,USA,11
1994,Australia,1
1994,Canada,1
1994,England,1
1994,France,1
1994,Northern Ireland,1
1994,Russia,1
1994,South Africa,1
1994,USA,8
1995,Australia,1
1995,Egypt,1
1995,New Zealand,1
1995,USA,3
1996,Canada,2
1996,Finland,1
1996,France,1
1996,India,1
1996,USA,2
1997,Brazil,1
1997,Holland,1
1997,Malaysia,1
1997,USA,7
1998,Argentina,1
1998,Australia,1
1998,Canada,1
1998,England,1
1998,Indonesia,1
1998,USA,9
1999,Australia,2
1999,Cambodia,1
1999,Denmark,1
1999,England,3
1999,Germany,4
1999,Israel,1
1999,Japan,2
1999,Kenya,1
1999,Mexico,1
1999,Romania,1
1999,Scotland,2
1999,Singapore,1
1999,Spain,1
1999,Thailand,2
1999,The Netherlands,1
1999,The Philippines,1
1999,USA,22
1999,Ukraine,1
2000,Australia,5
2000,Cambodia,1
2000,Canada,4
2000,England,3
2000,France,1
2000,Germany,1
2000,Israel,1
2000,Italy,2
2000,Japan,1
2000,Russia,1
2000,The Philippines,1
2000,USA,26
2001,Canada,1
2001,Croatia,1
2001,Egypt,2
2001,Finland,1
2001,Ghana,1
2001,Hungary,1
2001,Mexico,1
2001,New Zealand,2
2001,Scotland,1
2001,Tanzania,1
2001,USA,14
2002,Bangladesh,1
2002,Belgium,1
2002,Brazil,3
2002,Croatia,1
2002,England,2
2002,Hungary,1
2002,Italy,2
2002,New Zealand,1
2002,Norway,2
2002,Romania,1
2002,USA,12
2002,Ukraine,1
2003,Australia,2
2003,Brazil,1
2003,Cambodia,1
2003,East Timor,1
2003,England,2
2003,India,1
2003,Mexico,1
2003,New Zealand,1
2003,Spain,1
2003,USA,8
2004,Austria,1
2004,Canada,1
2004,Indonesia,1
2004,Italy,2
2004,Romania,2
2004,South Africa,1
2004,Taiwan,1
2004,Thailand,1
2004,The Netherlands,2
2004,USA,12
2004,Ukraine,1
2004,Wales,1
2004,Zimbabwe,1
2005,Croatia,1
2005,Malaysia,1
2005,Nebraska,1
2005,Russia,1
2005,South Africa,2
2005,Switzerland,1
2005,Thailand,1
2005,USA,7
2005,Vietnam,1
2005,Wales,1
2005,Zimbabwe,1
2006,Australia,1
2006,Austria,1
2006,Belize,1
2006,Brazil,1
2006,England,3
2006,Gabon,1
2006,Singapore,1
2006,USA,3
2006,Vietnam,1
2007,Australia,1
2007,Cambodia,1
2007,Czech Republic,1
2007,Germany,2
2007,India,1
2007,Mexico,1
2007,Russia,2
2007,Scotland,1
2007,Serbia,1
2007,Spain,1
2007,The Netherlands,1
2007,USA,9
2008,Bulgaria,1
2008,Czech Republic,1
2008,Indonesia,1
2008,Italy,2
2008,Malaysia,1
2008,Romania,1
2008,Serbia,1
2008,South Africa,1
2008,Sweden,1
2008,USA,7
2009,Belgium,2
2009,Canada,1
2009,England,2
2009,France,1
2009,Germany,1
2009,India,1
2009,Russia,1
2009,The Philippines,1
2009,USA,13
2010,Brazil,2
2010,Romania,1
2010,South Africa,1
2010,South Korea,1
2010,The Netherlands,1
2010,USA,3
2011,Australia,1
2011,England,1
2011,India,1
2011,USA,1
2012,Brazil,1
2012,USA,1
2013,Brazil,1
2013,England,1
2013,Finland,1
2013,USA,1
2014,Costa Rica,1
2014,England,3
2014,India,1
2014,Kenya,1
2014,Pakistan,1
2014,Poland,1
2014,The Netherlands,1
2014,USA,4
2015,Croatia,1
2015,New Zealand,1
2016,England,1
2016,USA,3
2017,Argentina,1
2017,England,1
2017,France,1
2017,Germany,1
2017,Japan,1
2017,Malaysia,1
2017,Mexico,1
2017,Russia,2
2017,Singapore,1
2017,USA,2
2017,Zimbabwe,1
2018,Australia,1
2018,Czech Republic,1
2018,England,0
2018,Gaza,1
2018,Germany,1
2018,India,1
2018,Malaysia,1
2018,New Zealand,1
2018,Poland,1
2018,Romania,0
2018,USA,5
2019,South Africa,1
2019,USA,1
