Language,Poop,Illness and IDD,An act of religion,Ethnic and social slurs,Sex and the Human body,Animal related,Earth and plants related,Miscellaneous profanity
English,1,1,0,0,6,0,0,0
Irish,0,1,1,0,2,0,0,0
French,2,1,0,0,6,0,0,1
Spanish,3,2,0,0,3,2,0,0
Italian,3,0,0,0,3,0,0,0
German,1,1,0,2,2,0,1,0
Portuguese,2,0,0,0,4,0,0,0
Russian,1,1,0,0,1,1,1,0
Chinese,1,3,0,0,3,6,0,3
Japanese,2,1,0,0,1,0,0,1
Korean,0,0,0,0,2,0,0,0
Ukrainian,1,1,0,0,2,0,0,0
Czech,1,1,0,0,1,0,0,0
Swedish,1,1,2,0,2,1,0,0
Greek,0,0,0,0,1,0,0,0
Danish,1,0,2,0,3,0,0,0
Sicilian,0,2,0,0,3,0,0,1
Finnish,1,0,4,0,3,1,0,0
Norwegian,2,0,1,1,4,0,0,0
Polish,0,0,0,0,4,0,0,2
Dutch,0,4,2,0,0,0,0,3
Icelandic,0,0,1,0,1,0,0,3
Akan,1,1,0,0,0,1,0,0
Romanian,0,0,1,0,3,0,0,0
Turkish,1,0,1,1,6,2,0,0
Croatian,0,0,3,0,3,0,0,0
Serbian,0,0,2,0,2,0,0,0
Hindi,0,0,0,0,2,0,0,0
Persian,5,0,0,0,1,0,1,1
Catalan,0,2,0,0,0,4,3,4
